req_ts,unique_id,railroad,origination_time,trip_id,train_no,route,direction,stop,scheduled_arrival_time,arrival_time,scheduled_departure_time,departure_time,schedule_relationship,trip_schedule_relationship,inferred_from_schedule
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Norwood Central,1785556500,1785556500,1785556500,1785556500,SCHEDULED,SCHEDULED,True
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Norwood Depot,1785556620,1785556620,1785556620,1785556620,SCHEDULED,SCHEDULED,True
1785556890,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Islington,1785556800,1785556860,1785556800,1785556860,SCHEDULED,SCHEDULED,False
1785557040,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Dedham Corporate Center,1785556980,1785557002,1785556980,1785557002,SCHEDULED,SCHEDULED,False
1785557100,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Endicott,1785557160,1785557091,1785557160,1785557160,SCHEDULED,SCHEDULED,False
1785557520,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Readville,1785557520,1785557315,1785557520,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,North Station,1785555600,1785555600,1785555600,1785555600,SCHEDULED,SCHEDULED,True
,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Malden Center,1785556260,1785556260,1785556260,1785556260,SCHEDULED,SCHEDULED,True
,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Oak Grove,1785556380,1785556380,1785556380,1785556380,SCHEDULED,SCHEDULED,True
,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Wyoming Hill,1785556500,1785556500,1785556500,1785556500,SCHEDULED,SCHEDULED,True
,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Melrose/Cedar Park,1785556620,1785556620,1785556620,1785556620,SCHEDULED,SCHEDULED,True
1785556920,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Melrose Highlands,1785556800,1785556885,1785556800,1785556885,SCHEDULED,SCHEDULED,False
1785557100,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Greenwood,1785556980,1785557090,1785556980,1785557090,SCHEDULED,SCHEDULED,False
1785557370,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Wakefield,1785557220,1785557338,1785557220,1785557338,SCHEDULED,SCHEDULED,False
1785557700,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Reading,1785557580,1785557683,1785557580,1785557733,SCHEDULED,SCHEDULED,False
1785558090,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,North Wilmington,1785557940,1785558051,1785557940,1785558051,SCHEDULED,SCHEDULED,False
1785558480,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Ballardvale,1785558360,1785558454,1785558360,1785558454,SCHEDULED,SCHEDULED,False
1785558780,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Andover,1785558660,1785558732,1785558660,1785558732,SCHEDULED,SCHEDULED,False
1785559170,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Lawrence,1785559080,1785559174,1785559080,1785559174,SCHEDULED,SCHEDULED,False
1785559710,MBTA|20260731|293|NorthBase-825712-293,MBTA,1785555600,NorthBase-825712-293,293,Haverhill Line,Outbound,Bradford,1785559560,1785559726,1785559560,1785559726,SCHEDULED,SCHEDULED,False
